Follower Athlete ID,Follow Status,Created At
81888820,Accepted,"9 Nov 2022, 13:24:41"
117166946,Accepted,"14 Jun 2023, 09:23:43"
130040632,Accepted,"14 Jan 2024, 16:24:53"
54765910,Accepted,"14 Jan 2024, 16:27:10"
54818367,Accepted,"14 Jan 2024, 16:27:43"
97591915,Accepted,"1 Mar 2024, 15:01:25"
36020297,Accepted,"1 Mar 2024, 15:03:32"
144587956,Accepted,"24 Aug 2024, 23:32:58"
139462707,Accepted,"17 Sep 2024, 14:10:06"
30243258,Accepted,"3 Oct 2024, 12:30:48"
93770698,Accepted,"10 Oct 2024, 15:17:36"
54794444,Accepted,"3 Mar 2025, 18:21:50"
114202726,Accepted,"5 Mar 2025, 15:12:20"
160832204,Accepted,"6 Mar 2025, 22:29:36"
26081012,Accepted,"10 Mar 2025, 19:12:31"
54506446,Accepted,"10 Mar 2025, 19:41:43"
29818694,Accepted,"11 Mar 2025, 15:16:39"
57385344,Accepted,"12 Mar 2025, 21:43:56"
61996638,Accepted,"19 Mar 2025, 07:35:33"
47877809,Accepted,"21 Mar 2025, 11:27:29"
