Following Athlete ID,Follow Status,Created At
81888820,Accepted,"9 Nov 2022, 13:23:06"
117166946,Pending,"14 Jun 2023, 11:45:17"
54818367,Accepted,"14 Jan 2024, 16:20:00"
54765910,Accepted,"14 Jan 2024, 16:20:27"
36020297,Accepted,"1 Mar 2024, 15:01:09"
97591915,Accepted,"1 Mar 2024, 15:03:05"
130040632,Accepted,"1 Mar 2024, 15:03:17"
144587956,Accepted,"25 Aug 2024, 14:29:26"
139462707,Accepted,"17 Sep 2024, 14:09:47"
30243258,Accepted,"3 Oct 2024, 11:56:27"
93770698,Accepted,"25 Nov 2024, 21:58:10"
54794444,Accepted,"3 Mar 2025, 18:11:01"
114202726,Accepted,"6 Mar 2025, 22:23:20"
160832204,Accepted,"6 Mar 2025, 22:44:44"
57385344,Accepted,"8 Mar 2025, 11:08:10"
26081012,Accepted,"10 Mar 2025, 19:12:06"
29818694,Accepted,"10 Mar 2025, 19:32:25"
54506446,Accepted,"10 Mar 2025, 21:23:24"
61996638,Accepted,"18 Mar 2025, 17:13:46"
47877809,Accepted,"21 Mar 2025, 11:27:18"
